trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
611,False,"{'a': 0.9977843691081794, 'e': 0.002153296820358444}",35,16,28.178618094009074,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
612,False,"{'a': 0.9978063666432913, 'e': 0.0021317638521548593}",20,7,25.074970537493407,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
613,False,"{'a': 0.9978281462547962, 'e': 0.0021104462136333105}",30,10,42.8666766779694,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
614,False,"{'a': 0.9978497100922109, 'e': 0.0020893417514969773}",20,8,21.243042949556802,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
615,False,"{'a': 0.9978710602840357, 'e': 0.0020684483339820075}",30,12,34.49006389870932,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
616,False,"{'a': 0.9978921989379567, 'e': 0.0020477638506421875}",25,18,15.954032309330252,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
617,False,"{'a': 0.9979131281410447, 'e': 0.0020272862121357657}",25,3,36.128534306427646,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
618,False,"{'a': 0.9979338499599546, 'e': 0.002007013350014408}",20,2,30.83801773891522,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
619,False,"{'a': 0.9979543664411201, 'e': 0.0019869432165142637}",30,4,44.813124728923896,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
620,False,"{'a': 0.9979746796109501, 'e': 0.001967073784349121}",20,16,8.585562299959772,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
621,False,"{'a': 0.9979947914760195, 'e': 0.00194740304650563}",25,18,14.325009026276225,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
622,False,"{'a': 0.9980147040232614, 'e': 0.0019279290160405737}",20,0,26.042393938112465,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
623,False,"{'a': 0.9980344192201551, 'e': 0.001908649725880168}",20,14,9.855924470537264,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
624,False,"{'a': 0.9980539390149143, 'e': 0.0018895632286213661}",25,7,32.2085474986381,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
625,False,"{'a': 0.9980732653366725, 'e': 0.0018706675963351526}",20,12,17.229186439172555,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
626,False,"{'a': 0.9980924000956662, 'e': 0.001851960920371801}",25,9,30.50567241128078,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
627,False,"{'a': 0.9981113451834178, 'e': 0.001833441311168083}",35,12,43.6507178272178,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
628,False,"{'a': 0.9981301024729159, 'e': 0.0018151068980564022}",30,23,14.784836874801726,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
629,False,"{'a': 0.998148673818794, 'e': 0.001796955829075838}",25,15,19.41927994096612,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
630,False,"{'a': 0.9981670610575072, 'e': 0.0017789862707850797}",30,17,28.639809796178167,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
631,False,"{'a': 0.9981852660075083, 'e': 0.001761196408077229}",25,7,34.92120671165148,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
632,False,"{'a': 0.9982032904694216, 'e': 0.0017435844439964566}",20,12,14.780005751751732,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
633,False,"{'a': 0.998221136226214, 'e': 0.001726148599556492}",25,11,24.738472630253632,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
634,False,"{'a': 0.9982388050433672, 'e': 0.001708887113560927}",20,13,12.558053861625146,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
635,False,"{'a': 0.9982562986690452, 'e': 0.0016917982424253177}",25,13,23.985639595922226,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
636,False,"{'a': 0.9982736188342628, 'e': 0.0016748802600010646}",25,11,22.571394629150852,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
637,False,"{'a': 0.9982907672530508, 'e': 0.0016581314574010539}",25,8,29.85281077359893,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
638,False,"{'a': 0.9983077456226203, 'e': 0.0016415501428270432}",20,7,23.239101221790147,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
639,False,"{'a': 0.9983245556235256, 'e': 0.001625134641398773}",25,15,18.04703512109907,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
640,False,"{'a': 0.9983411989198255, 'e': 0.001608883294984785}",30,19,18.94943182067785,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
641,False,"{'a': 0.9983576771592428, 'e': 0.0015927944620349372}",25,11,25.554617745107837,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
642,False,"{'a': 0.9983739919733222, 'e': 0.0015768665174145879}",20,5,26.162673069123823,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
643,False,"{'a': 0.9983901449775877, 'e': 0.001561097852240442}",30,18,22.858023437685365,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
644,False,"{'a': 0.998406137771697, 'e': 0.0015454868737180376}",20,3,32.74330982977614,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
645,False,"{'a': 0.9984219719395961, 'e': 0.0015300320049808573}",35,22,26.306526307157952,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
646,False,"{'a': 0.998437649049671, 'e': 0.0015147316849310486}",30,13,30.884996273976167,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
647,False,"{'a': 0.9984531706548986, 'e': 0.001499584368081738}",20,2,29.741011978789015,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
648,False,"{'a': 0.9984685382929966, 'e': 0.0014845885244009207}",25,13,22.49189445338807,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
649,False,"{'a': 0.9984837534865711, 'e': 0.0014697426391569114}",20,11,18.657799080374073,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
650,False,"{'a': 0.998498817743263, 'e': 0.0014550452127653423}",25,14,20.87151359986288,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
651,False,"{'a': 0.9985137325558942, 'e': 0.001440494760637689}",20,8,22.35422790582552,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
652,False,"{'a': 0.9985284994026105, 'e': 0.001426089813031312}",30,20,22.22138369440333,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
653,False,"{'a': 0.9985431197470248, 'e': 0.0014118289149009989}",20,11,17.49120360211428,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
654,False,"{'a': 0.9985575950383575, 'e': 0.0013977106257519888}",30,13,32.231902019391455,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
655,False,"{'a': 0.9985719267115775, 'e': 0.001383733519494469}",30,24,11.519351368211115,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
656,False,"{'a': 0.9985861161875393, 'e': 0.0013698961842995242}",25,11,23.672991998447973,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
657,False,"{'a': 0.9986001648731215, 'e': 0.001356197222456529}",30,15,32.12142128604886,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
